iteration,model_runs_completed,total_phi,measurement_phi,regularization_phi,temp_0.1,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,oxy_0.1,oxy_1,oxy_2,oxy_3,oxy_4,oxy_5,oxy_6,oxy_7,oxy_8,oxy_9,thermo_depth,schmidt_s,mom,af
0,0,3927.94,3927.94,0,19.8776,20.8813,28.7003,17.8063,31.1218,16.8194,7.03298,2.36582,5.1443,5.57352,27.6199,29.3798,68.5128,242.868,187.646,320.429,315.274,155.031,359.005,470.678,77.8812,50.1893,141.743,1326.36
1,40,1610.82,1610.82,0,13.3697,13.561,22.6693,18.3258,35.6702,16.2192,6.75973,2.0562,4.74114,5.07065,30.7314,33.3498,72.7407,165.468,87.8903,112.18,63.3159,42.0444,108.823,165.523,94.7571,30.4845,112.905,352.16
2,79,1209.83,1209.83,0,12.3008,12.3121,21.5018,17.7005,33.5403,16.2632,6.61116,1.95047,4.48671,4.77557,32.4109,35.8898,76.1532,149.3,70.4709,43.5321,39.4661,47.1255,63.8347,86.3199,104.643,28.6483,103.778,196.815
3,118,1181.62,1181.62,0,11.4335,11.1199,20.6939,16.4486,31.3867,16.7261,6.79425,1.97004,4.64632,4.96848,32.5218,36.0617,76.4226,147.655,67.759,38.6072,41.5857,54.7871,70.7394,85.6442,99.7231,27.8579,103.28,172.786
4,186,1170.54,1170.54,0,9.69377,8.73725,17.998,15.701,31.0549,16.1194,6.45314,1.83136,4.37805,4.63225,32.7541,36.6388,77.398,148.414,68.4137,38.9948,40.0392,53.8295,69.7656,82.8497,97.0707,22.434,107.872,177.466
5,254,1174.34,1174.34,0,9.53684,8.51919,17.6912,15.6651,30.6181,16.0069,6.5093,1.90684,4.41352,4.67519,32.8444,36.6361,77.3199,150.569,69.3813,38.0633,45.0723,51.335,68.9426,83.2188,94.5408,21.908,108.933,180.036
6,322,1160.08,1160.08,0,9.45617,8.4337,17.5323,15.6989,31.7035,16.3816,6.54304,1.9388,4.41024,4.6577,32.783,36.5931,77.3464,151.178,68.5293,38.7802,43.3556,52.1816,66.8832,84.4505,89.3379,22.0618,104.207,175.64
7,390,1165,1165,0,9.46899,8.44613,17.3726,15.8447,30.6916,16.1874,6.51829,1.93816,4.42875,4.70288,32.7832,36.5681,77.2283,149.012,66.6342,37.9926,43.1026,54.0932,69.307,85.4488,94.9544,21.991,100.661,179.626
8,458,1129.85,1129.85,0,9.04821,7.54697,16.556,16.0238,32.5717,15.9758,6.25825,2.01854,4.51691,4.74511,33.2134,36.7558,77.0239,142.549,66.6218,39.7134,44.3192,50.9341,61.1932,76.2096,97.3665,20.2055,98.0249,170.46
9,526,1126.45,1126.45,0,8.63373,6.78083,15.2585,15.7088,31.8607,16.1446,7.00083,2.50831,5.40877,5.7227,33.5203,37.0126,77.4519,134.352,65.9551,40.6819,47.6875,55.3426,58.9446,71.9343,104.696,18.8495,98.5812,166.408
10,594,1094.65,1094.65,0,8.7944,6.55901,14.861,14.9662,28.9381,15.6963,6.84505,2.58988,5.51362,5.78566,33.5024,36.8166,76.6617,126.476,63.6045,41.5435,44.514,61.7421,62.8143,67.895,98.2271,18.2924,96.4005,155.61
11,662,1098.7,1098.7,0,8.8848,6.48911,15.0191,14.7803,26.954,15.8905,6.98969,2.58732,5.58822,5.83954,33.6243,36.7948,76.083,125.657,62.7618,40.5874,48.5887,55.287,59.3115,68.8255,113.025,18.1335,90.8701,160.126
12,730,1090.22,1090.22,0,8.85341,6.4484,14.4899,14.6921,29.281,16.0941,7.23967,2.66625,5.78385,6.0873,33.6901,36.9256,76.7905,120.615,61.9025,41.567,47.8103,55.0163,57.5736,71.2455,108.644,18.2623,90.2573,158.284
13,798,1096.93,1096.93,0,9.14072,6.39436,14.4133,14.0853,27.5368,16.5012,7.77694,3.13897,6.57501,7.10559,33.6991,36.9872,76.54,124.469,61.828,41.0759,50.4711,61.4946,61.9678,70.3348,99.6423,18.3212,92.2978,155.135
14,866,1083.58,1083.58,0,9.10397,6.425,14.4585,13.5173,26.1143,16.7134,7.36425,2.78325,5.94538,6.30466,33.5608,36.7881,75.8879,119.284,60.4135,42.3128,49.8749,56.4465,61.5961,71.928,102.197,18.1451,86.0637,160.353
15,934,1072.7,1072.7,0,9.12108,6.46694,14.3059,13.3335,24.9839,16.3032,7.26487,2.7248,5.9028,6.23918,34.1915,37.3284,76.8992,119.115,61.2846,42.422,49.3691,55.6326,57.9804,70.5264,104.486,18.3542,85.8255,152.639
16,1002,1069.35,1069.35,0,9.19972,6.45377,14.2143,13.0171,24.284,16.4905,7.37078,2.83222,6.06451,6.43549,34.085,37.2134,76.5027,121.329,61.4786,42.8962,48.6976,58.7389,61.2004,72.5127,87.7249,18.3873,90.6574,151.562
17,1070,1065.66,1065.66,0,9.04188,6.42035,14.1552,13.1286,24.375,16.5728,7.24729,2.68015,5.83102,6.15376,33.7979,36.9401,76.1922,117.67,61.3828,42.0635,46.2265,56.8543,60.4405,73.6037,93.1705,18.4137,89.0566,154.246
18,1138,1063.95,1063.95,0,9.0528,6.56408,15.187,13.1001,24.9387,16.5501,7.14868,2.58616,5.71768,6.05938,33.2783,36.5601,75.8468,116.521,61.0638,41.5817,47.6077,59.994,61.1468,70.9944,97.6164,18.9617,89.782,146.089
19,1206,1069.89,1069.89,0,9.16013,6.66724,15.5943,12.8711,24.2079,16.4678,7.24541,2.59503,5.60924,5.99236,33.488,36.6997,75.5273,116.653,59.4629,41.7419,48.1886,60.3055,62.2395,77.673,98.8787,19.3828,85.3132,147.923
20,1274,1076.05,1076.05,0,9.1944,6.66616,15.5202,13.156,24.6411,16.6942,7.22157,2.6134,5.62413,5.98998,33.4386,36.6252,75.4858,117.425,60.7681,42.7188,46.7171,61.5301,63.2764,76.6472,100.232,19.685,90.123,144.052
21,1342,1059.11,1059.11,0,9.09281,6.69134,15.9384,12.6644,23.2554,16.706,7.70032,2.78839,5.86901,6.14412,33.4319,36.8538,76.0917,117.733,61.1553,39.6655,44.8098,58.5499,60.7568,70.1427,97.9448,19.5792,89.0671,146.48
22,1410,1044.61,1044.61,0,9.16337,6.45017,15.4764,12.4229,22.6888,16.3739,7.30221,2.65295,5.35352,5.52814,33.1221,36.5755,75.8607,116.685,58.2524,38.4029,40.7399,59.5843,60.3143,66.4946,106.174,18.3104,89.8864,140.791
23,1478,1008.79,1008.79,0,9.12081,6.3135,15.1408,12.303,22.8181,17.3193,7.78285,2.68556,5.40906,5.49183,32.8758,36.4063,75.6166,111.778,58.5712,37.6914,40.7129,57.3068,53.2186,57.3749,97.4931,17.9149,90.7639,136.682
24,1546,1002.09,1002.09,0,9.31318,6.2867,15.0674,12.0098,22.5688,17.2682,7.61726,2.49238,5.09532,5.17011,33.04,36.4873,75.8162,109.67,58.7482,38.4648,39.6552,49.4188,48.8367,59.1072,94.546,17.8148,92.2928,145.299
25,1614,997.847,997.847,0,9.02971,6.22283,14.9516,11.8531,22.4211,16.7805,7.04518,2.30186,4.62149,4.69099,32.8201,36.3518,75.531,111.987,58.9911,38.9171,39.1463,55.8848,51.8409,57.7728,86.5329,17.7206,91.374,143.057
26,1682,1001.2,1001.2,0,9.01331,6.27166,14.9475,12.0748,23.0162,16.9182,7.07496,2.31204,4.63716,4.72907,32.5993,36.1045,75.2041,112.133,58.9558,39.623,36.4757,52.5699,50.85,57.4506,95.5971,17.8141,90.7318,144.096
27,1750,1019.57,1019.57,0,8.84642,6.35318,15.2057,12.8857,23.6152,17.0964,7.25791,2.50045,5.01816,5.08174,32.2372,36.0183,75.362,111.852,58.8015,37.3019,36.5125,54.9176,60.2066,66.2731,88.7361,17.9408,98.8181,140.728
28,1818,1005.07,1005.07,0,8.98339,6.19639,14.9763,13.1166,24.1803,17.6147,7.61957,2.51578,5.02992,5.09816,32.1769,35.9526,75.1125,109.249,58.0044,38.8242,38.9577,56.2089,50.9054,54.8027,98.3445,17.5121,91.4625,142.221
29,1886,1010.37,1010.37,0,8.94532,6.27908,15.088,13.6037,24.2215,17.2525,7.31076,2.47754,4.89035,4.95105,32.2305,35.9493,75.4719,115.039,57.2847,38.6488,39.1906,59.4488,50.4399,51.7233,107.628,17.7367,89.4521,135.108
30,1954,1009.03,1009.03,0,9.15721,6.36076,14.9125,12.6841,22.5886,16.6395,6.48962,1.99283,4.0421,4.10413,32.166,35.82,75.1224,111.026,57.5489,39.474,37.1385,57.9267,52.3495,57.6983,100.551,17.8781,91.3194,144.041
