"DateTime","thermo.depth","month","year"
2015-07-09,5.07519702967555,7,2015
2015-07-13,4.71275926242042,7,2015
2015-07-16,4.35070758341338,7,2015
2015-07-20,4.12321367863914,7,2015
2015-07-23,3.0877317838269,7,2015
2015-07-27,3.52060436064966,7,2015
2015-07-30,3.49689751036487,7,2015
2015-08-03,3.81490956227425,8,2015
2015-08-08,3.87236847903085,8,2015
2015-08-31,4.65622377114838,8,2015
2015-09-07,5.00123818171475,9,2015
2015-09-14,4.9348627942158,9,2015
2015-09-21,5.33891432301361,9,2015
2015-09-28,5.80604531470069,9,2015
2016-04-04,4.58508138530874,4,2016
2016-04-06,5.45836757099323,4,2016
2016-04-11,6.49698140229852,4,2016
2016-04-18,2.81653230014359,4,2016
2016-04-20,2.74982581866538,4,2016
2016-04-25,3.60346251010189,4,2016
2016-05-02,3.35172909572944,5,2016
2016-05-04,3.38317949476071,5,2016
2016-05-09,3.78673275423393,5,2016
2016-05-12,4.12000598564245,5,2016
2016-05-16,3.58649807339985,5,2016
2016-05-19,3.88692797924036,5,2016
2016-05-23,3.50049666947305,5,2016
2016-05-26,0.55,5,2016
2016-05-29,1.6119256600293,5,2016
2016-05-30,0.55,5,2016
2016-05-31,1.74026045424974,5,2016
2016-06-01,2.5503411961385,6,2016
2016-06-02,0.55,6,2016
2016-06-03,1.53781173928037,6,2016
2016-06-06,1.77911959458642,6,2016
2016-06-07,2.57322837348457,6,2016
2016-06-08,2.60678281410766,6,2016
2016-06-09,2.67330942015281,6,2016
2016-06-13,2.58406900374491,6,2016
2016-06-20,3.36648370155395,6,2016
2016-06-23,3.89132109521801,6,2016
2016-06-26,2.84920386013466,6,2016
2016-06-27,4.62351520219636,6,2016
2016-06-28,6.51122861549276,6,2016
2016-06-30,5.53476915350172,6,2016
2016-07-05,5.33797642968049,7,2016
2016-07-07,5.20331352889863,7,2016
2016-07-11,5.35997274670471,7,2016
2016-07-14,3.51018656478172,7,2016
2016-07-18,4.60666007653447,7,2016
2016-07-21,2.90070583982438,7,2016
2016-07-24,1.90799067255869,7,2016
2016-07-25,3.20701087633991,7,2016
2016-07-26,2.70888000122332,7,2016
2016-07-27,5.97829434772612,7,2016
2016-07-28,6.14325949053095,7,2016
2016-08-01,6.33853672886615,8,2016
2016-08-08,5.5,8,2016
2016-08-11,5.5,8,2016
2016-08-15,5.5,8,2016
2016-08-18,5.5,8,2016
2016-08-23,5.5,8,2016
2016-08-26,5.5,8,2016
2016-09-02,5.5,9,2016
2016-09-06,5.5,9,2016
2016-09-09,4.86888871722907,9,2016
2016-09-16,5.5,9,2016
2016-09-17,5.00784256595936,9,2016
2016-09-20,5.32453976482999,9,2016
2016-09-27,5.14570717996433,9,2016
2016-09-30,5.48223530621725,9,2016
2017-04-09,5.41034902122746,4,2017
2017-04-10,4.50135090528584,4,2017
2017-04-16,1.5119944479464,4,2017
2017-04-17,2.81096578693809,4,2017
2017-04-23,1.93173280700231,4,2017
2017-04-30,1.42065254409298,4,2017
2017-05-01,2.72506621047829,5,2017
2017-05-04,2.46163522966656,5,2017
2017-05-07,2.93849901701424,5,2017
2017-05-08,4.28118956143623,5,2017
2017-05-09,3.44401775865516,5,2017
2017-05-14,1.7806686245906,5,2017
2017-05-15,2.62057175427724,5,2017
2017-05-18,1.79151713538113,5,2017
2017-05-22,2.6393210037356,5,2017
2017-05-25,4.13139922979762,5,2017
2017-05-29,1.67285585479284,5,2017
2017-05-30,0.55,5,2017
2017-06-01,0.55,6,2017
2017-06-05,2.62473409186876,6,2017
2017-06-08,5.20818533713829,6,2017
2017-06-12,2.51387407051214,6,2017
2017-06-19,2.59987364575184,6,2017
2017-06-26,2.88015327805929,6,2017
2017-07-05,3.51650016550445,7,2017
2017-07-10,2.91425695421537,7,2017
2017-07-13,1.39085039402825,7,2017
2017-07-17,3.58460876388141,7,2017
2017-07-24,4.47303420496644,7,2017
2017-07-31,3.88187210682773,7,2017
2017-08-07,3.87733259807028,8,2017
2017-08-14,4.42248793969375,8,2017
2017-08-21,4.17187576016022,8,2017
2017-08-28,4.52181395742362,8,2017
2017-09-04,4.70193919856508,9,2017
2017-09-11,4.89447614196097,9,2017
2017-09-18,5.27160340199365,9,2017
2017-09-25,4.65782451144252,9,2017
2018-04-04,2.45262409369708,4,2018
2018-04-10,4.62330166537465,4,2018
2018-04-20,3.43366126976835,4,2018
2018-04-23,3.26025442178969,4,2018
2018-04-30,3.48379720938075,4,2018
2018-05-04,0.55,5,2018
2018-05-07,1.72944074749864,5,2018
2018-05-11,2.62123722883281,5,2018
2018-05-14,1.7437778883153,5,2018
2018-05-17,1.78320805336629,5,2018
2018-05-21,0.55,5,2018
2018-05-28,0.55,5,2018
2018-05-30,2.47330665372021,5,2018
2018-05-31,1.84172538908186,5,2018
2018-06-04,1.8027986088963,6,2018
2018-06-07,1.93967286060305,6,2018
2018-06-11,1.81470227495423,6,2018
2018-06-14,1.59994576343502,6,2018
2018-06-18,2.28287203442254,6,2018
2018-06-21,1.79741563009754,6,2018
2018-06-25,2.18218805875418,6,2018
2018-06-28,2.52950747432867,6,2018
2018-07-02,2.43578502319001,7,2018
2018-07-05,2.35146338060897,7,2018
2018-07-09,2.50477298301044,7,2018
2018-07-16,2.52312788844426,7,2018
2018-07-19,2.50107797312497,7,2018
2018-07-23,2.65052879166246,7,2018
2018-07-26,3.22400414062995,7,2018
2018-07-30,3.61611563590125,7,2018
2018-08-02,2.84985598631035,8,2018
2018-08-06,2.74757418075442,8,2018
2018-08-09,1.70826906117249,8,2018
2018-08-10,1.87440289705585,8,2018
2018-08-13,3.55650528042915,8,2018
2018-08-14,1.82672122072811,8,2018
2018-08-16,2.75597319044288,8,2018
2018-08-20,2.74716526751331,8,2018
2018-08-24,2.81860755265846,8,2018
2018-08-27,3.3986647128873,8,2018
2018-09-03,3.2290856456813,9,2018
2018-09-07,2.76604235303324,9,2018
2018-09-10,2.45255612533728,9,2018
2018-09-12,1.88462549081569,9,2018
2018-09-17,4.57304157513558,9,2018
2018-09-21,4.69239398737419,9,2018
2018-09-24,5.01340129063665,9,2018
2019-04-01,4.55130292176683,4,2019
2019-05-06,2.80231102538094,5,2019
2019-05-13,2.81753849475837,5,2019
2019-05-20,2.58081520393842,5,2019
2019-05-27,2.66588317773191,5,2019
2019-06-03,2.52787151280024,6,2019
2019-06-06,2.48681929772281,6,2019
2019-06-10,3.14784202295123,6,2019
2019-06-13,3.26134842290374,6,2019
2019-06-17,3.35533034288692,6,2019
2019-06-20,2.85937395111188,6,2019
2019-06-24,2.74524710384707,6,2019
2019-06-27,2.31297565610667,6,2019
2019-07-01,2.35535804100236,7,2019
2019-07-03,2.67252190493048,7,2019
2019-07-08,1.81622380131507,7,2019
2019-07-15,2.54521169208755,7,2019
2019-07-18,2.4921109281264,7,2019
2019-07-22,2.57739692813314,7,2019
2019-07-29,2.79743888600733,7,2019
2019-08-01,3.19508980831817,8,2019
2019-08-05,3.02708396076782,8,2019
2019-08-08,3.40972934154213,8,2019
2019-08-12,1.88108539126428,8,2019
2019-08-14,1.82442986934632,8,2019
2019-08-15,1.84108857636493,8,2019
2019-08-19,1.88553751538862,8,2019
2019-08-22,1.87348655831682,8,2019
2019-08-28,2.5,8,2019
2019-09-02,4.5,9,2019
2019-09-11,4.21373055539262,9,2019
2019-09-20,4.32145632914693,9,2019
2019-09-27,4.21704078251415,9,2019
2020-04-04,2.66356268700622,4,2020
2020-04-10,3.55260409259802,4,2020
2020-04-13,4.36164381133192,4,2020
2020-04-20,4.45399752725048,4,2020
2020-04-27,4.5370748175717,4,2020
2020-05-04,2.80870270452201,5,2020
2020-05-11,4.89895666853315,5,2020
2020-05-18,1.9217986694588,5,2020
2020-05-25,0.55,5,2020
2020-06-03,2.69750707463028,6,2020
2020-06-08,2.72553426091628,6,2020
2020-06-12,2.77247224921756,6,2020
2020-06-18,2.63292068784743,6,2020
2020-06-22,0.55,6,2020
2020-06-25,0.55,6,2020
2020-06-28,1.5241521397483,6,2020
2020-06-29,1.63654567597572,6,2020
2020-07-02,1.67766922730096,7,2020
2020-07-06,1.5079108361358,7,2020
2020-07-08,5.5,7,2020
2020-07-09,1.5519499538172,7,2020
2020-07-13,1.78133490769329,7,2020
2020-07-17,2.55682214695781,7,2020
2020-07-20,3.08954294215539,7,2020
2020-07-23,2.47799809380825,7,2020
2020-07-27,2.130091602022,7,2020
2020-07-30,2.68121398763319,7,2020
2020-08-03,1.89960643123194,8,2020
2020-08-06,1.83629025916234,8,2020
2020-08-10,2.69185652594603,8,2020
2020-08-17,2.78421654900722,8,2020
2020-08-24,0.55,8,2020
2020-09-02,1.86352099531233,9,2020
2020-09-03,0.55,9,2020
2020-09-09,1.81348610195312,9,2020
2020-09-10,2.8217700822105,9,2020
2020-09-11,0.55,9,2020
2020-09-14,5.50208977385378,9,2020
2020-09-15,0.55,9,2020
2020-09-16,0.55,9,2020
2020-09-19,4.44051868849969,9,2020
2020-09-21,3.6355149079822,9,2020
2020-09-25,3.70192082248428,9,2020
2020-09-30,3.64551131736496,9,2020
