Date,IceOn
2016-01-21,1
2016-01-22,1
2016-01-23,1
2016-01-24,1
2016-01-25,1
2016-01-26,1
2016-01-27,1
2016-01-28,1
2016-01-29,1
2016-01-30,1
2016-01-31,1
2016-02-01,1
2016-02-02,1
2016-02-03,1
2016-02-04,1
2016-02-05,1
2016-02-06,1
2016-02-07,1
2016-02-08,1
2016-02-09,1
2016-02-10,1
2016-02-11,1
2016-02-12,1
2016-02-13,1
2016-02-14,1
2016-02-15,1
2016-02-16,1
2016-02-17,1
2016-02-18,1
2016-02-19,1
2016-02-20,1
2016-02-21,1
2016-12-20,1
2017-01-08,1
2017-01-13,1
2017-12-28,1
2017-12-29,1
2017-12-30,1
2017-12-31,1
2018-01-01,1
2018-01-02,1
2018-01-03,1
2018-01-04,1
2018-01-05,1
2018-01-06,1
2018-01-07,1
2018-01-08,1
2019-01-21,1
2019-01-22,1
2019-01-23,1
2019-01-27,1
2019-01-28,1
2019-01-29,1
2019-01-30,1
2019-01-31,1
2019-02-01,1
2020-12-27,1
2020-12-28,1
2020-12-29,1