datetime,schmidt.stability
2015-07-09,31.13491005
2015-07-13,32.1411333
2015-07-16,31.84135227
2015-07-20,41.84731857
2015-07-23,40.62498073
2015-07-27,40.46624958
2015-07-30,46.10540106
2015-08-03,34.69382364
2015-08-08,31.87944677
2015-08-31,22.52953551
2015-09-07,24.1644297
2015-09-14,15.10292
2015-09-21,10.96218318
2015-09-28,6.001261941
2015-10-05,1.135858729
2015-10-23,3.577507523
2015-12-07,0.561062643
2016-02-05,6.34E-12
2016-03-30,5.074456859
2016-04-04,4.340583753
2016-04-06,4.390065076
2016-04-11,1.417374794
2016-04-18,12.11326808
2016-04-20,13.49333392
2016-04-25,13.27279261
2016-05-02,20.65800556
2016-05-04,22.25519843
2016-05-09,14.38621023
2016-05-12,20.54664779
2016-05-16,12.90397204
2016-05-19,10.82267005
2016-05-23,13.61260588
2016-05-26,15.67679254
2016-05-29,30.09437382
2016-05-30,23.13513065
2016-05-31,28.07902769
2016-06-01,25.4503526
2016-06-02,33.20588093
2016-06-03,34.84650605
2016-06-06,36.95512419
2016-06-07,35.00981206
2016-06-08,31.56305002
2016-06-09,24.38621546
2016-06-13,30.33690412
2016-06-20,33.69020725
2016-06-23,26.77570601
2016-06-26,33.23870888
2016-06-27,25.61863429
2016-06-28,17.33425024
2016-06-30,24.80681853
2016-07-05,21.07597946
2016-07-07,29.04780323
2016-07-11,29.37257808
2016-07-14,32.63981122
2016-07-18,37.12356425
2016-07-21,37.47480351
2016-07-24,45.56649745
2016-07-25,48.47545859
2016-07-26,43.92027367
2016-07-27,20.85675499
2016-07-28,24.6636406
2016-08-01,31.33563846
2016-08-08,16.85062304
2016-08-11,21.41818412
2016-08-15,26.4965423
2016-08-18,24.86822832
2016-08-23,20.48897499
2016-08-26,35.37371592
2016-09-02,19.3088276
2016-09-06,22.06378152
2016-09-09,22.79099291
2016-09-16,16.28225016
2016-09-17,16.401586
2016-09-20,12.91499658
2016-09-27,11.59566482
2016-09-30,7.728377404
2016-10-05,5.884954078
2016-10-06,1.135004477
2016-10-07,1.785583395
2016-10-11,1.042792192
2016-10-14,0.637500315
2016-11-04,3.41861654
2016-11-11,1.267822373
2016-12-02,0.625956088
2017-02-06,0.017661908
2017-02-27,1.11495805
2017-03-13,0.236559886
2017-03-26,4.763156078
2017-03-27,6.173722807
2017-04-09,6.448212638
2017-04-10,7.233338984
2017-04-16,21.681063
2017-04-17,17.71712603
2017-04-23,13.8933392
2017-04-30,21.83009386
2017-05-01,22.20399808
2017-05-04,15.73519547
2017-05-07,10.22840048
2017-05-08,8.767190372
2017-05-09,9.75820291
2017-05-14,17.13285452
2017-05-15,15.29185973
2017-05-18,31.79289242
2017-05-22,21.97774693
2017-05-25,15.60207245
2017-05-29,24.21099784
2017-05-30,16.20273561
2017-06-01,19.08024137
2017-06-05,23.43032567
2017-06-08,16.74052573
2017-06-12,27.40924592
2017-06-19,34.81900299
2017-06-26,29.52331042
2017-07-05,25.39236989
2017-07-10,34.14923613
2017-07-13,40.46113853
2017-07-17,33.08448532
2017-07-24,42.12069533
2017-07-31,23.94115315
2017-08-07,23.14127194
2017-08-14,24.39139147
2017-08-21,33.72613111
2017-08-28,6.374837904
2017-09-04,13.33564807
2017-09-11,1.563567146
2017-09-18,7.535723442
2017-09-25,11.05487443
2017-10-09,10.26236085
2017-11-06,1.886965568
2018-01-15,0.179831459
2018-02-19,0.44483265
2018-03-19,2.419508402
2018-04-04,5.046408686
2018-04-10,2.080250563
2018-04-20,12.00041329
2018-04-23,8.821077476
2018-04-30,9.163764096
2018-05-04,20.86074856
2018-05-07,26.16844988
2018-05-11,29.5543933
2018-05-14,39.82616393
2018-05-17,33.84863539
2018-05-21,26.15500065
2018-05-28,32.31986048
2018-05-30,30.4997137
2018-05-31,31.72118512
2018-06-04,37.37988963
2018-06-07,35.28432356
2018-06-11,42.67620129
2018-06-14,39.69249212
2018-06-18,48.8020522
2018-06-21,52.43380059
2018-06-25,48.58584451
2018-06-28,38.36417542
2018-07-02,50.17702988
2018-07-05,56.9919725
2018-07-09,45.02139908
2018-07-16,52.49387983
2018-07-19,50.57304031
2018-07-23,41.4350457
2018-07-26,47.04342247
2018-07-30,38.16821882
2018-08-02,41.89147334
2018-08-06,44.11719256
2018-08-09,52.17128968
2018-08-10,46.6017928
2018-08-13,40.28323015
2018-08-14,44.62028592
2018-08-16,46.51911235
2018-08-20,42.92489493
2018-08-24,34.99997544
2018-08-27,39.3892871
2018-09-03,41.74030529
2018-09-07,48.90532901
2018-09-10,35.89100187
2018-09-12,33.16842244
2018-09-17,17.1730964
2018-09-21,22.74574868
2018-09-24,12.04839068
2018-10-01,11.2821378
2018-10-05,20.01018898
2018-10-08,20.01713643
2018-10-15,3.297027333
2018-10-19,1.831221286
2018-10-21,1.131401274
2018-10-22,0.523138318
2018-10-29,0.289487066
2018-11-02,1.953427679
2018-11-07,2.682945673
2018-11-19,0.395205399
2019-01-21,0.250435588
2019-02-08,0.088986807
2019-03-18,1.334170513
2019-04-01,2.870833081
2019-05-06,25.36525321
2019-05-13,26.83463505
2019-05-20,32.73486101
2019-05-27,37.96723003
2019-06-03,39.47492386
2019-06-06,41.49600283
2019-06-10,28.63343293
2019-06-13,28.67950599
2019-06-17,35.65773568
2019-06-20,40.07009852
2019-06-24,36.6814604
2019-06-27,43.6896288
2019-07-01,48.94136644
2019-07-03,46.90501161
2019-07-08,55.91301928
2019-07-15,53.87861072
2019-07-18,52.00495671
2019-07-22,51.8809276
2019-07-29,44.95847336
2019-08-01,41.07530336
2019-08-05,45.65011868
2019-08-08,41.43470662
2019-08-12,41.18716329
2019-08-14,46.81356128
2019-08-15,46.14330094
2019-08-19,49.26565394
2019-08-22,49.82785678
2019-08-28,31.76121586
2019-09-02,6.134087834
2019-09-11,34.96227608
2019-09-20,23.41165478
2019-09-27,25.32204276
2019-10-02,35.04090115
2019-10-04,31.63360845
2019-10-11,13.54738061
2019-10-22,2.054818862
2019-10-23,0.947340934
2019-10-25,0.946437441
2019-10-28,4.48581785
2019-10-30,3.898544011
2019-11-04,0.180531733
2019-11-20,0.713349371
2019-12-06,0.163911785